Projekt;Teilprojekt;Arbeitspaket
810-FRA2001-ERP-AM;31108 Auftragsstatusabgleich Allianz;01-Durchführung
810-FRA2001-ERP-AM;31109 Katalogausleitung: zusätzliche Variantenbildung;01-Umsetzung
810-FRA2001-ERP-AM;31118 Problem bei Frankreich Abwicklung Konsi - Ware;01-Umsetzung
810-FRA2001-ERP-AM;31121 Fehler bei Transportauftragsanlage;01-Umsetzung
810-FRA2001-ERP-AM;31123 Neues Null-Nali Kennzeichen 6;01-Umsetzung
810-FRA2001-ERP-AM;31130 Diverse Fehler bei der Abwicklung für F und Ö;01-Umsetzung
810-FRA2001-ERP-AM;31144 doppelter Name auf Adresslabel;
810-FRA2001-ERP-AM;31153 RiskIdent: Implementierung Use Case 1;01-Umsetzung
810-FRA2001-ERP-AM;31174 P01 - Artikel auf frankonia.de ausverkauft aber .at verfüg;01-Umsetzung
810-FRA2001-ERP-AM;31178 Überprüfung der Volumendaten des neuen C-Behälters;01-Umsetzung
810-FRA2001-ERP-AM;31179 Abbruch Lieferlauf Frankreich 1332;01-Umsetzung
810-FRA2001-ERP-AM;31200 Hinweise auf SAP Belegen;01-Umsetzung
810-FRA2001-ERP-AM;31212 Zahlarten-Schnittstelle SAP - Shop;01-Umsetzung
810-FRA2001-ERP-AM;31232 Fehler bei WA-Buchung Frankreich;01-Umsetzung
810-FRA2001-ERP-AM;31237 Liefersperre CC zieht sich nicht bei Auftrag m. Payment L.;01-Umsetzung
810-FRA2001-ERP-AM;31253 Fehler bei Buchungsschritt nach Prüflos;01-Umsetzung
810-FRA2001-ERP-AM;31273 P01 - Änderung von angelegt von in Fiori;01-Umsetzung
810-FRA2001-ERP-AM;31278 Fiori - Kundenanlage Erweiterung um DSGVO-Hinweis;01-Umsetzung
810-FRA2001-ERP-AM;31282 Problem bei Platz leer / Behälter voll;01-Umsetzung
810-FRA2001-ERP-AM;31295 P01 - Status und weitere Information Telefonverkauf;01-Umsetzung
810-FRA2001-ERP-AM;31297 Zahlungseingangsverbuchung Ebay;01-Umsetzung
810-FRA2001-ERP-AM;31311 Zahlartenmapping Webshop B2B;01-Umsetzung
810-FRA2001-ERP-AM;31328 Versandbedingung für CC-Aufträge;01-Umsetzung
810-FRA2001-ERP-AM;31330 automatische Archivierung der Zollrechnung über ZSD_031;01-Umsetzung
810-FRA2001-ERP-AM;31354 Andruck der Bestellnummer bei Umlagerungen;01-Umsetzung
810-FRA2001-ERP-AM;31361 Zinserträge aus Raten - falsches Steuerkennzeichen;01-Umsetzung
810-FRA2001-ERP-AM;31388 Falsche Lagerorte bei WE Buchungen Filiale;01-Umsetzung
810-FRA2001-ERP-AM;31399 Sammelartikelnummer Zeitschriften;01-Umsetzung
810-FRA2001-ERP-AM;31415 Onlineaufträge mit Absagegrund 01 absagen;01-Umsetzung
810-FRA2001-ERP-AM;31422 Fehler bei Transportauftragsanlage;01-Umsetzung
810-FRA2001-ERP-AM;31427 Transportfragebogen bei Streckenbestellung - NEUER BOGEN;01-Umsetzung
810-FRA2001-ERP-AM;31433 Laufzeitfehler Testsystem bei Belieferung von UBs;01-Umsetzung
810-FRA2001-ERP-AM;31436 Fehlerhafte SAP Pushes;01-Umsetzung
810-FRA2001-ERP-AM;31437 Falsche Werte OnlineShop bei Auftragsanlage;01-Umsetzung
810-FRA2001-ERP-AM;31437 Falsche Werte OnlineShop bei Auftragsanlage;
810-FRA2001-ERP-AM;31444 Swarovski K 45586 - Neu ab FS22_TEXTIL-Outdoor  kein EDI;01-Umsetzung
810-FRA2001-ERP-AM;31445 Versand mit DPD bei Exportaufträgen;01-Umsetzung
810-FRA2001-ERP-AM;31446 Keine Einträge zu 02K gefunden;01-Umsetzung
810-FRA2001-ERP-AM;31457 Konsi Bestände ohne K auf Transfer - keine Zuordnung;01-Umsetzung
810-FRA2001-ERP-AM;31459 zwei Testfälle für Filiale Erfurt Click&Collect;01-Umsetzung
810-FRA2001-ERP-AM;31461 Lieferung ohne Bestand angelegt, nicht sichtbar MD04;01-Umsetzung
810-FRA2001-ERP-AM;31476 Avis-Datei Overnite;01-Umsetzung
810-FRA2001-ERP-AM;31512 Customizingoptimierung Auftragserfassung AT;
810-FRA2001-ERP-AM;31527 P01 - Artikel ziehen sich nicht auf Filiale;01-Umsetzung
810-FRA2001-ERP-AM;31540 Fiori _ EWBs nicht abschließbar - Userbezogen;01-Umsetzung
810-FRA2001-ERP-AM;31574 Analyse der Liefer-ID-Kombinationen.;01-Umsetzung
810-FRA2001-ERP-AM;31587 Cavok Änderungszeiger;01-Umsetzung
810-FRA2001-ERP-AM;31595 Nachrichtenkondition ZA00 - Versand nur mit Komm.Art INT;01-Umsetzung
810-FRA2001-ERP-AM;31618 Fiori Anzeige Warenausgang + TA Anlage;01-Durchführung
810-FRA2001-ERP-AM;31630 Liefernummernanzeige via HU;
810-FRA2001-ERP-AM;31632 Zahlartenmapping Webshop B2C;01-Umsetzung
810-FRA2001-ERP-AM;31637 Zusätzliche Felder in der ZWM_006;01-Umsetzung
810-FRA2001-ERP-AM;31642 P01 - Abschaffung Anton Tester;01-Umsetzung
810-FRA2001-ERP-AM;31647 Kombiretourenlabel;01-Durchführung
810-FRA2001-ERP-AM;31647 Kombiretourenlabel;01-Team Besprechung
810-FRA2001-ERP-AM;31647 Kombiretourenlabel;
810-FRA2001-ERP-AM;31648 Retourenlabel und Anfrage für Retourenlabel in CH, AT;01-Umsetzung
810-FRA2001-ERP-AM;31682 P01 - Fehlerhafter Betrag für Kreditkartenauthorisierung;01-Umsetzung
810-FRA2001-ERP-AM;31684 SAP Buchung ohne Gutscheinnummer in der Zuordnung;01-Umsetzung
810-FRA2001-ERP-AM;31713 Testunterstützung Logistikprozesse;01-Umsetzung
810-FRA2001-ERP-AM;31718 Anpassung Delta Lauf Neuterminierung;01-Umsetzung
810-FRA2001-ERP-AM;31721 Kommissionierlisten Bildung prüfen - eine Lieferung;01-Umsetzung
810-FRA2001-ERP-AM;31732 Sammellieferung mit Andruck aller Bestellnummern;01-Umsetzung
810-FRA2001-ERP-AM;31732 Sammellieferung mit Andruck aller Bestellnummern;
810-FRA2001-ERP-AM;31744 Kommissionierliste löschen mit Firefighter;01-Durchführung
810-FRA2001-ERP-AM;31755 VKM1: DE11 & DE12 ohne Kreditprüfung in Frankreich;01-Umsetzung
810-FRA2001-ERP-AM;31763 Prüfung Liefer-ID Art. 2011819;01-Umsetzung
810-FRA2001-ERP-AM;31766 Filialausgang Ware wird gescannt aber nicht verpackt;01-Durchführung
810-FRA2001-ERP-AM;31770  Statusanzeige Liefersperre Online Shop;01-Umsetzung
810-FRA2001-ERP-AM;31782 Äufräumung der Datenbank zum WE-Cockpit;01-Durchführung
810-FRA2001-ERP-AM;31788 Gast Bestellung;01-Umsetzung
810-FRA2001-ERP-AM;31813 HU verschwindet nach Warenausgang buchen;01-Umsetzung
810-FRA2001-ERP-AM;31828 Warenausgang für Lohnbeistellung nicht möglich;01-Umsetzung
810-FRA2001-ERP-AM;31842 Rechnungen werden ohne Artikelbezeichung gedruckt;01-Umsetzung
810-FRA2001-ERP-AM;31852 Liefer-ID falsch bei Sicherheitsbestand GH;01-Umsetzung
810-FRA2001-ERP-AM;31857 Schnittstelle Merkmale Cavok reduzieren;01-Umsetzung
810-FRA2001-ERP-AM;31864 P01 - Fehlerhafte Authorisierung PayPal Auftrag;01-Umsetzung
810-FRA2001-ERP-AM;31870 Sendungdaten an DHL;01-Umsetzung
810-FRA2001-ERP-AM;31874 Falsche Preise im Shop;01-Umsetzung
810-FRA2001-ERP-AM;31883 Anpassung bei vier Filialen Umlagerungen innerhalb Filiale;01-Umsetzung
810-FRA2001-ERP-AM;31911 SAP Incident: 322815 / 2022 MD04 nicht refreshed nach Ausf;01-Umsetzung
810-FRA2001-ERP-AM;31933 P01 - xd02 Anzeige der Zusatzdaten Debitor optimieren;
810-FRA2001-ERP-AM;31938 Korrektur Etikettendruck Filiale Preisangabenverordnung;01-Umsetzung
810-FRA2001-ERP-AM;31954 Formular Belastungsanzeige;01-Umsetzung
810-FRA2001-ERP-AM;31957 Flexus_MDE_Anwendung: Artikel können nicht abgerufen;01-Umsetzung
810-FRA2001-ERP-AM;31965 AB Verarbeitung Merkel;01-Umsetzung
810-FRA2001-ERP-AM;31981 B2B Überschreiben Lieferaussage 26 zu Lieferaussage 27;01-Umsetzung
810-FRA2001-ERP-AM;31998 Filialbestände im Shop falsch;01-Umsetzung
810-FRA2001-ERP-AM;32001 Löschanfragen Ebay;01-Umsetzung
810-FRA2001-ERP-AM;32004 Benutzung Fire Fighter für Herrn Marcel Schröder;01-Umsetzung
810-FRA2001-ERP-AM;32015 Falscher Preis Simulate Order;01-Umsetzung
810-FRA2001-ERP-AM;32017 Lieferterminaussage Shop GH falsch;01-Umsetzung
810-FRA2001-ERP-AM;32039 Fehlerhafte Preise im Webshop;01-Umsetzung
810-FRA2001-ERP-AM;32070 Veriegelung Preiskonditionen VK;01-Umsetzung
810-FRA2001-ERP-AM;32112 Anpassung Statustext bei Meine Bestellungen;01-Umsetzung
810-FRA2001-ERP-AM;32114 Kein Retourelabel für Exportkunden;01-Umsetzung
810-FRA2001-ERP-AM;32115 Korrektur Verfügbarkeitsprüfung GH;01-Umsetzung
810-FRA2001-ERP-AM;32116 Blockieren paralleler Ausführung zyklische Jobs;01-Umsetzung
810-FRA2001-ERP-AM;32124 Fehler Lieferlauf Großhandel;01-Umsetzung
810-FRA2001-ERP-AM;32158 Fehler Logik Rechnungsdruck Export;01-Umsetzung
810-FRA2001-ERP-AM;32160 P01 - Fehler manuelle PayPal Auftragsanlage;01-Umsetzung
810-FRA2001-ERP-AM;32187 Nachnahme Versand Betrag wurde auf Label nicht gedruckt;01-Umsetzung
810-FRA2001-ERP-AM;32198 Rückbau Transport zu Ticket #19757;01-Umsetzung
810-FRA2001-ERP-AM;32200 PayPal - PayID kommt nicht korrekt in SAP an;01-Umsetzung
810-FRA2001-ERP-AM;32202 Fehlende Daten in Kundenschnittstelle AUKT;01-Umsetzung
810-FRA2001-ERP-AM;32210 Fehler SAP-Gutscheinkonto;01-Umsetzung
810-FRA2001-ERP-AM;32210 Fehler SAP-Gutscheinkonto;
810-FRA2001-ERP-AM;32213 P01 -  Eintrag Auslieferung über Filiale bei Aufträgen;01-Umsetzung
810-FRA2001-ERP-AM;32228 Click & Reserve trotz Reservierung möglich;01-Umsetzung
810-FRA2001-ERP-AM;32234 P01 - Versandnachricht 1009 enthält fehlerhafte Daten;01-Umsetzung
810-FRA2001-ERP-AM;32262 Fiori - EWB Liste Sortierung anpassen;01-Umsetzung
810-FRA2001-ERP-AM;32285 P01 - C&C Mail Abholschein - Filialinfo fehlt;01-Umsetzung
810-FRA2001-ERP-AM;32286 P01 - C&C Absagegrund 00 erzeugt keine Mail an den Kunden;01-Umsetzung
810-FRA2001-ERP-AM;32298 P01 - Jagdschein wird im TA nicht gezogen;01-Umsetzung
810-FRA2001-ERP-AM;32310 P01 - Mehrere Aufträge auf Filiale obwohl nur 1x Bestand;01-Umsetzung
810-FRA2001-ERP-AM;32357 Fehlerhafter Kassenbon 1163 vom 22.07.2022;01-Umsetzung
810-FRA2001-ERP-AM;32358-01 Click and Reserve;01-Umsetzung
810-FRA2001-ERP-AM;32359 Fiori - Filiale 1157 kein Mailversand möglich;01-Umsetzung
810-FRA2001-ERP-AM;32377 - Gutschein doppelt auf Kundenkonto;01-Umsetzung
810-FRA2001-ERP-AM;32382 Anmeldung via Trusted System;01-Umsetzung
810-FRA2001-ERP-AM;32383 Doku. TTE Schnittstelle;01-Durchführung
810-FRA2001-ERP-AM;32384 ZSD_092 maschinelle Erstattung Gutschriften funktioniert n;01-Umsetzung
810-FRA2001-ERP-AM;32391-01 Kundenänderung;01-Umsetzung
810-FRA2001-ERP-AM;32395 Auslesen BI-Gutscheine;01-Umsetzung
810-FRA2001-ERP-AM;32396 Click & Collect - Job Anpassungen;01-Umsetzung
810-FRA2001-ERP-AM;32401 Marktplätze: Versandbestätigungen werden n. an Tradebyte;01-Umsetzung
810-FRA2001-ERP-AM;32408 Anpassung Kommissionierbereich;01-Umsetzung
810-FRA2001-ERP-AM;32410 Preisdatum;01-Umsetzung
810-FRA2001-ERP-AM;32416 Fehlermeldungstext bei der Fiori App;01-Umsetzung
810-FRA2001-ERP-AM;32460 Fehler Entnahme Reservierung Serialnummer;01-Umsetzung
810-FRA2001-ERP-AM;32464 Inhalt der Userexits durch Z-Includes ersetzen;01-Umsetzung
810-FRA2001-ERP-AM;32481 - PayPal-Direktanbindung Retoure;01-Umsetzung
810-FRA2001-ERP-AM;32483 I-Autrag C&C kann nicht über ZSD_112 eingespielt werden;01-Umsetzung
810-FRA2001-ERP-AM;32491 Klärung Gutscheinreferenz - BR Dies sind echte POS Buchung;01-Umsetzung
810-FRA2001-ERP-AM;32492 Klärung Gutscheinreferenz - DG Das sind Retouren Filialkun;01-Umsetzung
810-FRA2001-ERP-AM;32505 Tag Marketingfarbe / Brand wird in der Schnittstelle Cavok;01-Umsetzung
810-FRA2001-ERP-AM;32507 Filialausgang Fiori App Verarbeitungsfehler;01-Umsetzung
810-FRA2001-ERP-AM;32530 Darstellung Zuschläge Waffenschränke & Service;01-Umsetzung
810-FRA2001-ERP-AM;32530 Darstellung Zuschläge Waffenschränke & Service;
810-FRA2001-ERP-AM;32558 Zahlsperre bei Kreditkartenaufträgen aus Österreich;01-Umsetzung
810-FRA2001-ERP-AM;32578 Fehler bei Resvierungsentnahme;01-Umsetzung
810-FRA2001-ERP-AM;32578 Fehler bei Resvierungsentnahme;
810-FRA2001-ERP-AM;32581 Zalando.de: Datenchaos bei eingespielte Testaufträge;01-Umsetzung
810-FRA2001-ERP-AM;32582 Folgeticket zu 31457 - Frankreich Konsi;01-Umsetzung
810-FRA2001-ERP-AM;32595-C&C Auftrag- Aktionscode;01-Umsetzung
810-FRA2001-ERP-AM;32619 - Stornoflag für C&C-Aufträge;01-Umsetzung
810-FRA2001-ERP-AM;32637 fehlende Leerzeichen im Fließtext;01-Umsetzung
810-FRA2001-ERP-AM;32677 Retourenlabel ohne Barcode;01-Umsetzung
810-FRA2001-ERP-AM;32688 Fehlender Barcode auf TA;01-Umsetzung
810-FRA2001-ERP-AM;32733 Fehlender E-Mail Versand bei Fotostudio-Abforderung;01-Umsetzung
810-FRA2001-ERP-AM;80-Reise;01-Durchführung
810-FRA2001-ERP-AM;IOT-Beteiligung an Problemen;
810-FRA2001-ERP-AM;xxx-Direktanfragen ohne Ticket;01-Umsetzung
810-FRA2001-ERP-AM;xxx-Direktanfragen ohne Ticket;
810-FRA2001-ERP-AM;;
811-FRA2002-ERP-Kleinstprojekte;11218  Jahresdateien zum Personalkaufumsatz;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;14425-Vorbereitung S/4 Migration;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;14582 Ablösung VKF-Monitor / Integration Aktionsabwicklung;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;14585 SelfServices;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;14585 SelfServices;02-Kundenkonto
811-FRA2002-ERP-Kleinstprojekte;14585 SelfServices;03-Create/Sim Order
811-FRA2002-ERP-Kleinstprojekte;14585 SelfServices;04-Ablösung ZWEBTABLE
811-FRA2002-ERP-Kleinstprojekte;14585 SelfServices;10-Übergreifende Jourfix / Teamsitzung
811-FRA2002-ERP-Kleinstprojekte;14637 Filialprozesse;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;15431 SelfService: Retourenlabel anfordern;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;16175 P01 - Fehler bei Authorisierungen Kreditkarte über Shop;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;16513 VW Nachschub & Staffelpreise;
811-FRA2002-ERP-Kleinstprojekte;18991 Abst. FI zu Anzahlungs- & Vorkasseprozess;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;19621 Spartenfindung ERP;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;20999 Reservierung Rücklauf Retouren;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;21001 Lieferantenportal;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;21001 Lieferantenportal;
811-FRA2002-ERP-Kleinstprojekte;23347 Ablösung ZWEBTABEL;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;23396 Click & Collect light;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;23862 Fotostudio über QM;01-Durchführung
811-FRA2002-ERP-Kleinstprojekte;23904-Kreditkartenredesign;01-Durchführung
811-FRA2002-ERP-Kleinstprojekte;25525 Frankreich Filialpackplatz Versandmatrix;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;25911 Auftragsannahme über Ratepay (Telefon und App);01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;25947 Ausbau der Fiori App auf freie Artikel;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;26131 SAP Produktkatalog;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;26247 Sammelprojekt Zahlungsdienstleister;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;26347 Paypal Zahlungen im stationären Handel;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;26795 Marketplace Naturabuy - Automatischer Import Bestellungen;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;27062-Konzeption Redesign Werkstattprozesse;01-Durchfürhung
811-FRA2002-ERP-Kleinstprojekte;27221 Konditionsmanagement Großhandel;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;27221 Konditionsmanagement Großhandel;
811-FRA2002-ERP-Kleinstprojekte;27656 Operatives Dashboard für KB;01-ERP Integration / Kennzahlen
811-FRA2002-ERP-Kleinstprojekte;27656 Operatives Dashboard für KB;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;27656 Operatives Dashboard für KB;02-App
811-FRA2002-ERP-Kleinstprojekte;27666 automatische Erstellung und Druck der Frachtpapiere;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;27671 fiori uploads für operatives dashboard customer service;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;27766 FRA Filialleiterübersicht;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;27766-Fiori - Filialleiterübersicht;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;27801 Lieferanten REST API;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;27801 Lieferanten REST API;
811-FRA2002-ERP-Kleinstprojekte;27808 Marktpaltzoptimierung;01-Vorabstimmung Konzeption
811-FRA2002-ERP-Kleinstprojekte;27808 Marktplätze Überarbeitung Anbindung und Normalisierung;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;27830 eBay: Zahlungsavis per API abholen;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;27887 SAP Stammdaten VTL und VWKZ nach Vertriebsweg/Verkaufsorg.;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;27887 SAP Stammdaten VTL und VWKZ nach Vertriebsweg/Verkaufsorg.;
811-FRA2002-ERP-Kleinstprojekte;27927 WE Cockpit Optimierung;01-Durchführung
811-FRA2002-ERP-Kleinstprojekte;27954  Jobplanung Lieferläufe;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;28374 Marktplätze: Umstellung Bestandsupdates direkt aus SAP;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;28425 2. Wahlprozesse;01-Durchführung
811-FRA2002-ERP-Kleinstprojekte;28456-Retouren-App;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;28606 Zahlunsgseingangsverbuchung Amazon;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;28617 Amazon FBA;01-Durchführung
811-FRA2002-ERP-Kleinstprojekte;28639 Zahlungseingangsverbuchung PayPal DE;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;28831 Reporten von gelöschten Lieferunggen zu UBs/KBs;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;28904 Zahlungseingangsverbuchung Kreditkarten;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;29226 Ablösung BusinessConnector für Konsi. Lieferanten;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;29245 Datenexport für Meldungen seitens Export & Import;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;29630 Versandkosten Frankreich;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;29631 Versandkosten Frankreich - Anpassungen Schnittstelle;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;30421 Übertragung Avis Daten an VS Logistik Filiale;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;30429 Formularanpassung Zalando Marktplatz-Erweiterung;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;30430 Einrichtung Vertriebsweg Zalando Marktplatz-Erweiterung;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;30446 Anpassung XML-Liefermeldung um Retourencode;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;30809 Neuer Konsignationsprozess unter Berücksichtigung steuerr.;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;30815 Lieferantenkonsignation Ausländische Läger;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;30820 Neue Preisverordnung;01-Abstimmung/Konzeption
811-FRA2002-ERP-Kleinstprojekte;30820 Neue Preisverordnung;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;30820 Neue Preisverordnung;02-Umsetzung Regelwerk
811-FRA2002-ERP-Kleinstprojekte;30820 Neue Preisverordnung;03-Integration
811-FRA2002-ERP-Kleinstprojekte;30820 Neue Preisverordnung;04-Abnahme/Test
811-FRA2002-ERP-Kleinstprojekte;30820 Neue Preisverordnung;
811-FRA2002-ERP-Kleinstprojekte;30853 Optimierung Marktplatz-Integration;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;30922 Optimierung Packprozess;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;30922 Optimierung Packprozess (Optim. Förderstrecke);01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;30922 Optimierung Packprozess (Optim. Förderstrecke);
811-FRA2002-ERP-Kleinstprojekte;30944 Vorprojekt neue Kasse;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;31118 UST.Problem mit Konsi;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;31362 Pilotprojekt Kasse Frankreich;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;31549 Angebotsprozess;
811-FRA2002-ERP-Kleinstprojekte;31820 Großmengenkommissionnierung Logistik;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;31975 Fehlerhafte Preisübermittlung;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;32154 Dublettenoptimierung;
811-FRA2002-ERP-Kleinstprojekte;32280 abweichende Lieferadressen;01-Durchführung
811-FRA2002-ERP-Kleinstprojekte;32288 Bereitstellung individuelle Gutscheincodes - Marketing;01-Umsetzung
811-FRA2002-ERP-Kleinstprojekte;;
812-INQ2001-Wartung-&-Support;;
815-IOT2002-Vertrieb;00-Lück;03-Koordination
815-IOT2002-Vertrieb;00-Lück;
815-IOT2002-Vertrieb;02-Vorbereitung ohne Lead;01-Analyse/Recherche
815-IOT2002-Vertrieb;02-Vorbereitung ohne Lead;02-Ausarbeitung
815-IOT2002-Vertrieb;02-Vorbereitung ohne Lead;
815-IOT2002-Vertrieb;03-EWM - kundenunspezifisch;
815-IOT2002-Vertrieb;05-FIORI;01-Kundenakquise
815-IOT2002-Vertrieb;05-FIORI;
815-IOT2002-Vertrieb;06-Webinar;01-FIORI
815-IOT2002-Vertrieb;06-Webinar;02-Logistik/EWM
815-IOT2002-Vertrieb;06-Webinar;
815-IOT2002-Vertrieb;;
821-THA2001-FIORI;;
825-MEN2004-Wartung;;
831-FRA2005-19806-SAP-Formulare-und-eMails;10- Vorabstimmung zum Projekt;01-Abstimmung / Anforderungsaufnahme
831-FRA2005-19806-SAP-Formulare-und-eMails;10- Vorabstimmung zum Projekt;03-Team Sitzung
831-FRA2005-19806-SAP-Formulare-und-eMails;10- Vorabstimmung zum Projekt;
831-FRA2005-19806-SAP-Formulare-und-eMails;16274 Formulare - Sammler;01-Umsetzung
831-FRA2005-19806-SAP-Formulare-und-eMails;16274 Formulare - Sammler;
831-FRA2005-19806-SAP-Formulare-und-eMails;19806 Kundenkommunikation Redesign;01-PM
831-FRA2005-19806-SAP-Formulare-und-eMails;19806 Kundenkommunikation Redesign;05-KickOff & Bestandsaufnahme
831-FRA2005-19806-SAP-Formulare-und-eMails;19806 Kundenkommunikation Redesign;
831-FRA2005-19806-SAP-Formulare-und-eMails;20-Konzeption;02-Erstellung
831-FRA2005-19806-SAP-Formulare-und-eMails;30-Übernahme V3 Beleg;02-Erweiterung Nachrichtensteuerung
831-FRA2005-19806-SAP-Formulare-und-eMails;30-Übernahme V3 Beleg;03-Anpassung Rechnungssmartform
831-FRA2005-19806-SAP-Formulare-und-eMails;30-Übernahme V3 Beleg;
831-FRA2005-19806-SAP-Formulare-und-eMails;40-V1 Kommunikation;01-Abstimmung / Anforderungsaufnahme
831-FRA2005-19806-SAP-Formulare-und-eMails;40-V1 Kommunikation;
831-FRA2005-19806-SAP-Formulare-und-eMails;50-V2 Kommunikation;
831-FRA2005-19806-SAP-Formulare-und-eMails;60-Erweiterung Easy Send Mail;01-Responsives Verhalten
834-MEN2006-WE-M7-Gewährleistung;;
836-MAN2101-Application-Management;00-Koordination;00-Kleinstanfrage
836-MAN2101-Application-Management;00-Koordination;00-Koordination
836-MAN2101-Application-Management;00-Koordination;10-JourFixe
836-MAN2101-Application-Management;10-Tickets;00-Durchführung
836-MAN2101-Application-Management;10-Tickets;00-Kleinstanfrage
836-MAN2101-Application-Management;10-Tickets;00-Koordination
836-MAN2101-Application-Management;10-Tickets;3481 - E-Mailsignatur und Anpassung LLE Erinnerungen
836-MAN2101-Application-Management;10-Tickets;3499 - Anpassung Nachricht E-Mail Versand CH Rechnungen
836-MAN2101-Application-Management;10-Tickets;3520 - Customer Service: Fehler im Dokument
836-MAN2101-Application-Management;10-Tickets;3544 - Customer Service: Anpassung Nachricht E-Mail
836-MAN2101-Application-Management;30 - SNP Schulung;
836-MAN2101-Application-Management;;
837-MAN2102-Kleinstprojekte;00-Kleinstprojekte;00-Durchführung
837-MAN2102-Kleinstprojekte;2098 FIORI-Auftragserfassung: MAG-Erweiterung;01-Durchführung
837-MAN2102-Kleinstprojekte;2331 ILM Integration;01-Einrichtung
837-MAN2102-Kleinstprojekte;2331 ILM Integration;02-Durchführung und Unterstützung P
837-MAN2102-Kleinstprojekte;2348 Zahlart an Lieferung speichern;01-Umsetzung
837-MAN2102-Kleinstprojekte;2373 POS.AT-API Integration;00 Durchführung
837-MAN2102-Kleinstprojekte;2412 Einführung GK Hospitality;01-Durchführung
837-MAN2102-Kleinstprojekte;2461 Changes zu Angebot MAGAZIN;01-Durchführung
837-MAN2102-Kleinstprojekte;2461 Changes zu Angebot MAGAZIN;
837-MAN2102-Kleinstprojekte;2555 Preisplanung: neue Anforderungen;00 Durchführung
837-MAN2102-Kleinstprojekte;2564 PayPal Optimierungen;00 Umsetzung
837-MAN2102-Kleinstprojekte;2639 c/o-Zeile auf Bestellungsformular ausgeben;01-Umsetzung
837-MAN2102-Kleinstprojekte;2703 Impressum Mail AT;01-Umsetzung
837-MAN2102-Kleinstprojekte;2783 CS-Cockpits: Redesign;00 Durchführung
837-MAN2102-Kleinstprojekte;2786 Assortment Planning QuickWins;01-Umsetzung
837-MAN2102-Kleinstprojekte;2885 Versandstellenfindung Filialversand;01-Durchführung
